,Bucket Range,Records,Records (%),High Risk Ratio,Low Risk Ratio,WoE
1,"(-inf, 0.50)","1,781,105",8.02,22.91,77.09,-1.3006435209639389
2,"[0.50, 1.00)","904,401",4.07,19.14,80.86,-1.0734696541841595
3,"[1.00, inf)","19,287,915",86.87,4.61,95.39,0.5148297817279093
4,Missing,"228,985",1.03,83.56,16.44,-4.140236066600819
Totals, ,"22,202,406",100.0,7.49,92.51, 
